,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
3755,3755,3755,Kasperl/Eberl_Mandolettikraemer.csv,"
      Baronin, Henriette, Vorige.",0,34,stage_direction,3,10,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
3756,3756,3756,Kasperl/Eberl_Mandolettikraemer.csv,"
      (Baronin geht dem Baron entgegen.)",0,41,stage_direction,3,10,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
3757,3757,3757,Kasperl/Eberl_Mandolettikraemer.csv,"
        (der sie erkennt, bleibt einen Augenblick wie versteinert stehen, für sich)",0,84,stage_direction,3,10,inner_speech,,#baron,1053.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
3758,3758,3758,Kasperl/Eberl_Mandolettikraemer.csv,"
       Himmel das ist die Baronin!!",0,36,character_speech,3,10,,"
       BARON.
      ",#baron,1053.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
3759,3759,3759,Kasperl/Eberl_Mandolettikraemer.csv,–,37,38,character_speech,3,10,,"
       BARON.
      ",#baron,1053.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
3760,3760,3760,Kasperl/Eberl_Mandolettikraemer.csv,"
        (laut: aber stotternd)",0,31,stage_direction,3,10,inner_speech,,#baron,1053.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
3761,3761,3761,Kasperl/Eberl_Mandolettikraemer.csv,"
       Gnädige Frau Sie hier zu finden –",0,41,character_speech,3,10,,"
       BARON.
      ",#baron,1053.0,UNKNOWN,"admiration, reverence",positive,emotions of affection,comedy,KK
3762,3762,3762,Kasperl/Eberl_Mandolettikraemer.csv,"
       Hätten Sie sich wohl nicht einfallen lassen!",0,52,character_speech,3,10,,"
       BARONIN.
      ",#baronin,1054.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
3763,3763,3763,Kasperl/Eberl_Mandolettikraemer.csv,"– allein ein Geschäft von der äussersten Wichtigkeit heißt mich Sie noch vor meiner Abreise sprechen, und um Ihnen von",53,171,character_speech,3,10,,"
       BARONIN.
      ",#baronin,1054.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
3764,3764,3764,Kasperl/Eberl_Mandolettikraemer.csv,"
       Ihren angenehmen Augenblicken keinen zu stehlen, so komm ich selbst auf den Ball!",0,89,character_speech,3,10,,"
       BARONIN.
      ",#baronin,1054.0,UNKNOWN,joy,positive,emotions of pleasure,comedy,KK
3765,3765,3765,Kasperl/Eberl_Mandolettikraemer.csv,–,90,91,character_speech,3,10,,"
       BARONIN.
      ",#baronin,1054.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
3766,3766,3766,Kasperl/Eberl_Mandolettikraemer.csv,"
        (verwirrt)",0,19,stage_direction,3,10,inner_speech,,#baron,1055.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
