,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
1957,1957,1957,Kasperl/Huber_Der eiserne Mann I.csv,"
      (Entfernter sanfter Mädchen-Chor.)",0,41,stage_direction,3,22,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1958,1958,1958,Kasperl/Huber_Der eiserne Mann I.csv,"
      Melodram.",0,16,stage_direction,3,22,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1959,1959,1959,Kasperl/Huber_Der eiserne Mann I.csv,"
       Was hör’ ich?",0,21,character_speech,3,22,,"
       Thilo.
      ",#thilo,618.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1960,1960,1960,Kasperl/Huber_Der eiserne Mann I.csv,– welcher Muth beseelt mein Unternehmen?,22,62,character_speech,3,22,,"
       Thilo.
      ",#thilo,618.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1961,1961,1961,Kasperl/Huber_Der eiserne Mann I.csv,– Ja – unter den Ruinen dieser Lastermauern soll der Bösewicht sein Grab finden – Vater!,63,151,character_speech,3,22,,"
       Thilo.
      ",#thilo,618.0,UNKNOWN,abhorrence,negative,emotions of rejection,comedy,KK
1962,1962,1962,Kasperl/Huber_Der eiserne Mann I.csv,ich eile in die Burg.,152,173,character_speech,3,22,,"
       Thilo.
      ",#thilo,618.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1963,1963,1963,Kasperl/Huber_Der eiserne Mann I.csv,–,174,175,character_speech,3,22,,"
       Thilo.
      ",#thilo,618.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1964,1964,1964,Kasperl/Huber_Der eiserne Mann I.csv,"
        (er will dahin)",0,24,stage_direction,3,22,inner_speech,,#thilo,618.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1965,1965,1965,Kasperl/Huber_Der eiserne Mann I.csv,"
        (kommt ihm oben entgegen.",0,34,stage_direction,3,22,inner_speech,,#eckbert,619.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1966,1966,1966,Kasperl/Huber_Der eiserne Mann I.csv,– Schrecklicher Akkord),35,58,stage_direction,3,22,inner_speech,,#eckbert,619.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1967,1967,1967,Kasperl/Huber_Der eiserne Mann I.csv,"
       Ha!",0,11,character_speech,3,22,,"
       Eckbert.
      ",#eckbert,619.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1968,1968,1968,Kasperl/Huber_Der eiserne Mann I.csv,was seh’ ich!,12,25,character_speech,3,22,,"
       Eckbert.
      ",#eckbert,619.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
1969,1969,1969,Kasperl/Huber_Der eiserne Mann I.csv,– Verdammt – ich bin verloren!,26,56,character_speech,3,22,,"
       Eckbert.
      ",#eckbert,619.0,UNKNOWN,fear,negative,emotions of anxiety,comedy,KK
1970,1970,1970,Kasperl/Huber_Der eiserne Mann I.csv,–,57,58,character_speech,3,22,,"
       Eckbert.
      ",#eckbert,619.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
