,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,Sprachebene
0,,die ewigkeit,,,,LSch,negativ,8995,CATMA_9B804BD4-48DC-47EB-9385-1053EB071381,135,Emotionen des Leids,negativ,8323,Leid,"Die Ihr auff der kummerreichen Welt
Verschrenckt mit Weh' vnd Ach vnd dürren Todtenbeinen.
Mich sucht wo alles bricht vnd felt /
Wo sich Eu'r ichts / in nichts verkehrt / vnd eure Lust in herbes Weinen!
Ihr Blinden! Ach! wo denckt jhr mich zu finden!
Die jhr vor mich was brechen muß vnd schwinden /
Die jhr vor Warheit nichts als falsche Träum' erwischt!
Vnd bey den Pfützen euch an stat der Quel erfrischt!
Ein Irrlicht ists was Euch O sterbliche! verführet
Ein thöricht Rasen das den Sinn berühret.
Wil jmand Ewig seyn wo man die kurtze Zeit

Die Handvoll Jahre die der Himmel euch nachsiht
Diß Alter das vergeht in dem es blüht
In Vnmuth theilt vnd in Vergängligkeit?
","['Die', 'Ihr', 'auff', 'der', 'kummerreichen', 'Welt', 'Verschrenckt', 'mit', 'Weh', ""'"", 'vnd', 'Ach', 'vnd', 'dürren', 'Todtenbeinen', '.', 'Mich', 'sucht', 'wo', 'alles', 'bricht', 'vnd', 'felt', '/', 'Wo', 'sich', 'Eu', ""'"", 'r', 'ichts', '/', 'in', 'nichts', 'verkehrt', '/', 'vnd', 'eure', 'Lust', 'in', 'herbes', 'Weinen', '!', 'Ihr', 'Blinden', '!', 'Ach', '!', 'wo', 'denckt', 'jhr', 'mich', 'zu', 'finden', '!', 'Die', 'jhr', 'vor', 'mich', 'was', 'brechen', 'muß', 'vnd', 'schwinden', '/', 'Die', 'jhr', 'vor', 'Warheit', 'nichts', 'als', 'falsche', 'Träum', ""'"", 'erwischt', '!', 'Vnd', 'bey', 'den', 'Pfützen', 'euch', 'an', 'stat', 'der', 'Quel', 'erfrischt', '!', 'Ein', 'Irrlicht', 'ists', 'was', 'Euch', 'O', 'sterbliche', '!', 'verführet', 'Ein', 'thöricht', 'Rasen', 'das', 'den', 'Sinn', 'berühret', '.', 'Wil', 'jmand', 'Ewig', 'seyn', 'wo', 'man', 'die', 'kurtze', 'Zeit', 'Die', 'Handvoll', 'Jahre', 'die', 'der', 'Himmel', 'euch', 'nachsiht', 'Diß', 'Alter', 'das', 'vergeht', 'in', 'dem', 'es', 'blüht', 'In', 'Vnmuth', 'theilt', 'vnd', 'in', 'Vergängligkeit', '?']",
1,,die ewigkeit,,,,LSch,negativ,9883,CATMA_D3AB2854-81E0-4A95-B84D-5B7BFB631046,154,Emotionen des Leids,negativ,8995,Leid,"Die Throne krachen1

 ja wenn dieser sie nicht helt
Der durch ein Wort beweget Hell vnd Welt.
Offt hat der mit gekröntem Haupt beherrschter Länder Macht erschüttert
In einem Nu / vor frembdem Stul in angeschlossnem Stahl erzittert.
Man schlief nicht einmal nur auff die gesalbten Nacken
Schwerdt / Beil vnd Hacken.
Der Fürsten heylig Blut trof durch verfluchter Hencker Hand
In den ob diesem Greuel-stück entfärbten Sand.
Dem Vberwinder auch wurd offt sein Lorberkrantz
Verwandelt in Cypressen Aeste /
Er zog in seinem freudenfeste
Mit deß Triumphs Gepränge zu dem Todtentantz.
Was dieser baut bricht jener Morgen ein /
Wo jtzt Paläste stehn
Wird künfftig nichts als Gras vnd Wiese seyn
Auff der ein Schäfers Kind wird nach der Herde gehn
Euch selbst / den grosse Schlösser noch zu enge
Wird / wenn jhr bald von hier entweichen werdet müssen
Ein enges Hauß ein schmaler Sarg beschlissen.
","['Die', 'Throne', 'krachen1', 'ja', 'wenn', 'dieser', 'sie', 'nicht', 'helt', 'Der', 'durch', 'ein', 'Wort', 'beweget', 'Hell', 'vnd', 'Welt', '.', 'Offt', 'hat', 'der', 'mit', 'gekröntem', 'Haupt', 'beherrschter', 'Länder', 'Macht', 'erschüttert', 'In', 'einem', 'Nu', '/', 'vor', 'frembdem', 'Stul', 'in', 'angeschlossnem', 'Stahl', 'erzittert', '.', 'Man', 'schlief', 'nicht', 'einmal', 'nur', 'auff', 'die', 'gesalbten', 'Nacken', 'Schwerdt', '/', 'Beil', 'vnd', 'Hacken', '.', 'Der', 'Fürsten', 'heylig', 'Blut', 'trof', 'durch', 'verfluchter', 'Hencker', 'Hand', 'In', 'den', 'ob', 'diesem', 'Greuel-stück', 'entfärbten', 'Sand', '.', 'Dem', 'Vberwinder', 'auch', 'wurd', 'offt', 'sein', 'Lorberkrantz', 'Verwandelt', 'in', 'Cypressen', 'Aeste', '/', 'Er', 'zog', 'in', 'seinem', 'freudenfeste', 'Mit', 'deß', 'Triumphs', 'Gepränge', 'zu', 'dem', 'Todtentantz', '.', 'Was', 'dieser', 'baut', 'bricht', 'jener', 'Morgen', 'ein', '/', 'Wo', 'jtzt', 'Paläste', 'stehn', 'Wird', 'künfftig', 'nichts', 'als', 'Gras', 'vnd', 'Wiese', 'seyn', 'Auff', 'der', 'ein', 'Schäfers', 'Kind', 'wird', 'nach', 'der', 'Herde', 'gehn', 'Euch', 'selbst', '/', 'den', 'grosse', 'Schlösser', 'noch', 'zu', 'enge', 'Wird', '/', 'wenn', 'jhr', 'bald', 'von', 'hier', 'entweichen', 'werdet', 'müssen', 'Ein', 'enges', 'Hauß', 'ein', 'schmaler', 'Sarg', 'beschlissen', '.']",
2,,die ewigkeit,,,,LSch,positiv,9572,CATMA_8C7A27F5-7866-4D8B-865C-2AE2C32E1A8D,13,Emotionen der Freude,positiv,9497,Freude,"Er zog in seinem freudenfeste
Mit deß Triumphs Gepränge zu dem Todtentantz.","['Er', 'zog', 'in', 'seinem', 'freudenfeste', 'Mit', 'deß', 'Triumphs', 'Gepränge', 'zu', 'dem', 'Todtentantz', '.']",
3,,die ewigkeit,,,,LSch,negativ,11670,CATMA_8F7425B7-5E2D-4F32-B3A6-9D65CD9ED50F_0,348,Emotionen des Leids,negativ,9883,Leid,"Ein Sarg der recht entdeckt wie kurtz der Menschen Länge.2


Wo aber hin? nach was doch ringet jhr
Ihr die jhr glaubt daß euer Feder Macht

Den Tod vnd Zeit hab' an ein Joch gebracht?
Glaubt frey die Ewigkeit beruht nicht auff Papir.
Indehm jhr Frembde wolt dem Vntergang entzihn;
Vermerckt jhr nicht wie eure Tag entflihn?
Ihr eilt indem jhr (trotz den Himmelslichtern!) wacht
In eures Grabes Nacht.
Wie mancher steigt durch Rauch deß falschen Ruhms verblendet
Nach hoher Ehr vnd fält /
Wenn der Gewächsten Flügel schwung bey gar zu naher Sonnen endet.
In höchste Schmach / vnd wird ein Scheusal aller Welt.
Ach thörichte! der vor euch sinckt auff beide Kni
Wündtscht offt euch da zu sehn wo nichts denn Tod vnd Müh.
Ihr die jhr euch in Gold verliebt
Vnd Sud vnd Ost durchrennt vmb andre reich zu machen;
Wo bleibt jhr wenn man alles übergibt?
Wenn eine Stunde schleust die Reitung aller Sachen?
Wer Jahre zehlt denckt der wol je an mich?
Wehn liebliche Gestalt betreuget /
Wehm seiner Wangen Farbe leuget
O HErr O Himmels HErr helt er sich schöner wol als dich?
Setzt Bilder auff! durchlaufft die grosse See!
Entdeckt ein wildes Land / setzt Nahmen auff den Schnee.3


Nennt Vfer / nennet Berg nach der Geschlechter Tittel
Ja schreibet Freund vnd euch ans Monden Rand vnd Mittel!4


Doch glaubt diß auch darbey

Daß auch diß was jhr besitzet euch noch recht bekand nicht sey /
Daß jhr / was Ewig ist hier noch nicht habt gefunden /
Daß euch nur Eitelkeit vnd Wahnwitz angebunden /
Schaut Arme! schaut was ist diß Threnenthal
Ein FolterHauß / da man mit Strang vnd Pfahl
Vnd Tode schertzt. Vor mir ligt Printz vnd Crone
Ich tret auff Zepter vnd auff Stab vnd steh auff Vater vnd dem Sohne.
Schmuck / Bild / Metall vnd ein gelehrt Papir /
Ist nichts als Sprew vnd leichter Staub vor mir.","['Ein', 'Sarg', 'der', 'recht', 'entdeckt', 'wie', 'kurtz', 'der', 'Menschen', 'Länge.2', 'Wo', 'aber', 'hin', '?', 'nach', 'was', 'doch', 'ringet', 'jhr', 'Ihr', 'die', 'jhr', 'glaubt', 'daß', 'euer', 'Feder', 'Macht', 'Den', 'Tod', 'vnd', 'Zeit', 'hab', ""'"", 'an', 'ein', 'Joch', 'gebracht', '?', 'Glaubt', 'frey', 'die', 'Ewigkeit', 'beruht', 'nicht', 'auff', 'Papir', '.', 'Indehm', 'jhr', 'Frembde', 'wolt', 'dem', 'Vntergang', 'entzihn', ';', 'Vermerckt', 'jhr', 'nicht', 'wie', 'eure', 'Tag', 'entflihn', '?', 'Ihr', 'eilt', 'indem', 'jhr', '(', 'trotz', 'den', 'Himmelslichtern', '!', ')', 'wacht', 'In', 'eures', 'Grabes', 'Nacht', '.', 'Wie', 'mancher', 'steigt', 'durch', 'Rauch', 'deß', 'falschen', 'Ruhms', 'verblendet', 'Nach', 'hoher', 'Ehr', 'vnd', 'fält', '/', 'Wenn', 'der', 'Gewächsten', 'Flügel', 'schwung', 'bey', 'gar', 'zu', 'naher', 'Sonnen', 'endet', '.', 'In', 'höchste', 'Schmach', '/', 'vnd', 'wird', 'ein', 'Scheusal', 'aller', 'Welt', '.', 'Ach', 'thörichte', '!', 'der', 'vor', 'euch', 'sinckt', 'auff', 'beide', 'Kni', 'Wündtscht', 'offt', 'euch', 'da', 'zu', 'sehn', 'wo', 'nichts', 'denn', 'Tod', 'vnd', 'Müh', '.', 'Ihr', 'die', 'jhr', 'euch', 'in', 'Gold', 'verliebt', 'Vnd', 'Sud', 'vnd', 'Ost', 'durchrennt', 'vmb', 'andre', 'reich', 'zu', 'machen', ';', 'Wo', 'bleibt', 'jhr', 'wenn', 'man', 'alles', 'übergibt', '?', 'Wenn', 'eine', 'Stunde', 'schleust', 'die', 'Reitung', 'aller', 'Sachen', '?', 'Wer', 'Jahre', 'zehlt', 'denckt', 'der', 'wol', 'je', 'an', 'mich', '?', 'Wehn', 'liebliche', 'Gestalt', 'betreuget', '/', 'Wehm', 'seiner', 'Wangen', 'Farbe', 'leuget', 'O', 'HErr', 'O', 'Himmels', 'HErr', 'helt', 'er', 'sich', 'schöner', 'wol', 'als', 'dich', '?', 'Setzt', 'Bilder', 'auff', '!', 'durchlaufft', 'die', 'grosse', 'See', '!', 'Entdeckt', 'ein', 'wildes', 'Land', '/', 'setzt', 'Nahmen', 'auff', 'den', 'Schnee.3', 'Nennt', 'Vfer', '/', 'nennet', 'Berg', 'nach', 'der', 'Geschlechter', 'Tittel', 'Ja', 'schreibet', 'Freund', 'vnd', 'euch', 'ans', 'Monden', 'Rand', 'vnd', 'Mittel', '!', '4', 'Doch', 'glaubt', 'diß', 'auch', 'darbey', 'Daß', 'auch', 'diß', 'was', 'jhr', 'besitzet', 'euch', 'noch', 'recht', 'bekand', 'nicht', 'sey', '/', 'Daß', 'jhr', '/', 'was', 'Ewig', 'ist', 'hier', 'noch', 'nicht', 'habt', 'gefunden', '/', 'Daß', 'euch', 'nur', 'Eitelkeit', 'vnd', 'Wahnwitz', 'angebunden', '/', 'Schaut', 'Arme', '!', 'schaut', 'was', 'ist', 'diß', 'Threnenthal', 'Ein', 'FolterHauß', '/', 'da', 'man', 'mit', 'Strang', 'vnd', 'Pfahl', 'Vnd', 'Tode', 'schertzt', '.', 'Vor', 'mir', 'ligt', 'Printz', 'vnd', 'Crone', 'Ich', 'tret', 'auff', 'Zepter', 'vnd', 'auff', 'Stab', 'vnd', 'steh', 'auff', 'Vater', 'vnd', 'dem', 'Sohne', '.', 'Schmuck', '/', 'Bild', '/', 'Metall', 'vnd', 'ein', 'gelehrt', 'Papir', '/', 'Ist', 'nichts', 'als', 'Sprew', 'vnd', 'leichter', 'Staub', 'vor', 'mir', '.']",
4,,die ewigkeit,,,,LSch,negativ,11869,CATMA_8F7425B7-5E2D-4F32-B3A6-9D65CD9ED50F_1,33,Emotionen des Leids,negativ,11709,Leid,"Hir vnter euch was ewig brennt vnd kracht.
Diß ist mein Reich / wehlt / was jhr wündtschet zu besitzen.
Wer allhier fählt dem wird nichts auff der Erden nützen.","['Hir', 'vnter', 'euch', 'was', 'ewig', 'brennt', 'vnd', 'kracht', '.', 'Diß', 'ist', 'mein', 'Reich', '/', 'wehlt', '/', 'was', 'jhr', 'wündtschet', 'zu', 'besitzen', '.', 'Wer', 'allhier', 'fählt', 'dem', 'wird', 'nichts', 'auff', 'der', 'Erden', 'nützen', '.']",
5,,die ewigkeit,,,,LSch,negativ,12008,CATMA_8F7425B7-5E2D-4F32-B3A6-9D65CD9ED50F_2,14,Emotionen des Leids,negativ,11937,Leid,"Schaut den Kercker deß Verterbens / hir ist nichts denn Ach vnd Klage!
","['Schaut', 'den', 'Kercker', 'deß', 'Verterbens', '/', 'hir', 'ist', 'nichts', 'denn', 'Ach', 'vnd', 'Klage', '!']",
6,,die ewigkeit,,,,LSch,negativ,12155,CATMA_8F7425B7-5E2D-4F32-B3A6-9D65CD9ED50F_3,14,Emotionen des Leids,negativ,12080,Leid,Schaut den Pful der schwartzen Geister; hir ist nichts denn Nacht vnd Plage,"['Schaut', 'den', 'Pful', 'der', 'schwartzen', 'Geister', ';', 'hir', 'ist', 'nichts', 'denn', 'Nacht', 'vnd', 'Plage']",
7,,die ewigkeit,,,,LSch,negativ,12225,CATMA_8F7425B7-5E2D-4F32-B3A6-9D65CD9ED50F_4,15,Emotionen des Leids,negativ,12156,Leid,"Was steht euch an?
Diß ist was Ewig euch ergetzen vnd verletzen kan.
","['Was', 'steht', 'euch', 'an', '?', 'Diß', 'ist', 'was', 'Ewig', 'euch', 'ergetzen', 'vnd', 'verletzen', 'kan', '.']",
8,,die ewigkeit,,,,LSch,positiv,11709,CATMA_16240605-CD33-4EEB-A921-1507C5872E47_0,9,Emotionen der Freude,positiv,11671,Freude,"Hir über euch ist diß waß ewig lacht!
","['Hir', 'über', 'euch', 'ist', 'diß', 'waß', 'ewig', 'lacht', '!']",
9,,die ewigkeit,,,,LSch,positiv,11936,CATMA_16240605-CD33-4EEB-A921-1507C5872E47_1,13,Emotionen der Freude,positiv,11870,Freude,Schaut deß Himmels Wollust an! hir ist nichts denn Trost vnd Wonne,"['Schaut', 'deß', 'Himmels', 'Wollust', 'an', '!', 'hir', 'ist', 'nichts', 'denn', 'Trost', 'vnd', 'Wonne']",
