,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
0,0,Kasperl/Eberl_Tode_korr.csv,"
      (Ein schlecht meublirtes Zimmer, links ein Vorhang-Bett: rechts ein Tisch mit einer Kanne und ein Buch darauf.)",0,118,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1,1,Kasperl/Eberl_Tode_korr.csv,"
       (sitzt mit der Schlafhauben, ohne Ueberrock am Tisch, und liest aus dem Buche.)",0,87,stage_direction,1,1,speech_part,,#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
2,2,Kasperl/Eberl_Tode_korr.csv,"
       Lieben Brüder!",0,22,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
3,3,Kasperl/Eberl_Tode_korr.csv,"Horchet wohl, sag’ ich euch!",23,51,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
4,4,Kasperl/Eberl_Tode_korr.csv,"– Ein Weib ist ein vortrefliches Geschöpf; denn sie ist das Kleinod, das ihres Mannes Ehre schmückt, sie ist das Spezerey­kästel, die seine Wunden heilt, sie ist das Labsall, welches die Bürdendes kümmerlichen Lebens erleichtert.",52,281,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,"admiration, reverence",positive,emotions of affection,comedy,KK
5,5,Kasperl/Eberl_Tode_korr.csv,"– Darum sag’ ich euch – ihr werdet wohl thun, wenn ihr euch Eine nehmet, sie mag braun oder weiß – groß oder klein – mager oder fett seyn; sie wird immer die eine Hälfte von euch ausmachen, nämlich – denn sie ist aus dem nämlichen Stoffe, aus dem ihr geschaffen seyd – weßwegen, wenn ihr 2 Speckseiten im Sauerkraut habt – ihr ja genau mit ihr theilen, und sie so gut halten sollt, als euern Leib!",282,679,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
6,6,Kasperl/Eberl_Tode_korr.csv,"– und wenn’s euch an Bettgewand gebricht, so gebt ihr Stroh oder Heu!",680,749,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
7,7,Kasperl/Eberl_Tode_korr.csv,"– damit sie sanft lege ihr Haupt – denn das Weib ist der Schatz, der euch aus allen Nöthen retten kann – denn wo ihr nicht mehr im Stande seyd – zu verdienen, so laßt nur euer Weib sorgen, sie wird sich zu helfen wissen, und euch gewis auch damit helfen.Also findet man es geschrieben, wo es gedruckt zu lesen ist.",750,1064,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
8,8,Kasperl/Eberl_Tode_korr.csv,"–Schade, daß keine Jahrzahl dabey steht, daß man doch gleichwohl wissen könnte, wenn diese Lügen wahr waren!",1065,1173,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
9,9,Kasperl/Eberl_Tode_korr.csv,– Du lieber Himmel!,1174,1193,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
