,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
0,0,TextGrid/-Robert_Guiskard__Fragment_.xml,"
                                 Ein Ausschuß von Normännern tritt auf, festlich im Kriegsschmuck.",0,99,stage_direction,0,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1,1,TextGrid/-Robert_Guiskard__Fragment_.xml,"Ihn begleitet Volk, jeden Alters und Geschlechts.",100,149,stage_direction,0,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2,2,TextGrid/-Robert_Guiskard__Fragment_.xml,"
                                    in unruhiger Bewegung.",0,59,stage_direction,0,1,speech_part,,,1.0,UNKNOWN,being moved,being moved,being moved
3,3,TextGrid/-Robert_Guiskard__Fragment_.xml,"
                                    Mit heißem Segenswunsch, ihr würd'gen Väter,
                                    Begleiten wir zum Zelte Guiskards euch!",0,157,character_speech,0,1,,DAS VOLK,DAS VOLK,1.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
4,4,TextGrid/-Robert_Guiskard__Fragment_.xml,"Euch führt ein Cherub an, von Gottes Rechten,
                                    Wenn ihr den Felsen zu erschüttern geht,
                                    Den angstempört die ganze Heereswog
                                    Umsonst umschäumt!",194,443,character_speech,0,1,,DAS VOLK,DAS VOLK,1.0,UNKNOWN,fear,negative,emotions of anxiety
5,5,TextGrid/-Robert_Guiskard__Fragment_.xml,"Schickt einen Donnerkeil
                                    Auf ihn hernieder, daß ein Pfad sich uns
                                    Eröffne, der aus diesen Schrecknissen
                                    Des greulerfüllten Lagerplatzes führt!",444,694,character_speech,0,1,,DAS VOLK,DAS VOLK,1.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
6,6,TextGrid/-Robert_Guiskard__Fragment_.xml,"Wenn er der Pest nicht schleunig uns entreißt,
                                    Die uns die Hölle grausend zugeschickt,
                                    So steigt der Leiche seines ganzen Volkes
                                    Dies Land ein Grabeshügel aus der See!",731,1006,character_speech,0,1,,DAS VOLK,DAS VOLK,1.0,UNKNOWN,abhorrence,negative,emotions of rejection
7,7,TextGrid/-Robert_Guiskard__Fragment_.xml,"Mit weit ausgreifenden Entsetzensschritten
                                    
                                       
Geht sie durch die erschrocknen Scharen hin,
                                    Und haucht von den geschwollnen Lippen ihnen
                                    Des Busens Giftqualm in das Angesicht!",1043,1363,character_speech,0,1,,DAS VOLK,DAS VOLK,1.0,UNKNOWN,abhorrence,negative,emotions of rejection
8,8,TextGrid/-Robert_Guiskard__Fragment_.xml,"Zu Asche gleich, wohin ihr Fuß sich wendet,
                                    Zerfallen Roß und Reuter hinter ihr,
                                    Vom Freund den Freund hinweg, die Braut vom Bräut'gam,
                                    Vom eignen Kind hinweg die Mutter schreckend!",1400,1689,character_speech,0,1,,DAS VOLK,DAS VOLK,1.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
9,9,TextGrid/-Robert_Guiskard__Fragment_.xml,"Auf eines Hügels Rücken hingeworfen,
                                    Aus ferner Öde jammern hört man sie,
                                    Wo schauerliches Raubgeflügel flattert,
                                    Und den Gewölken gleich, den Tag verfinsternd,
                                    Auf die Hülflosen kämpfend niederrauscht!",1726,2072,character_speech,0,1,,DAS VOLK,DAS VOLK,1.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
10,10,TextGrid/-Robert_Guiskard__Fragment_.xml,"Auch ihn ereilt, den Furchtlos-Trotzenden,
                                    Zuletzt das Scheusal noch, und er erobert,
                                    Wenn er nicht weicht, an jener Kaiserstadt
                                    Sich nichts, als einen prächt'gen Leichenstein!",2109,2393,character_speech,0,1,,DAS VOLK,DAS VOLK,1.0,UNKNOWN,abhorrence,negative,emotions of rejection
11,11,TextGrid/-Robert_Guiskard__Fragment_.xml,"Und statt des Segens unsrer Kinder setzt
                                    Einst ihres Fluches Mißgestalt sich drauf,
                                    Und heul'nd aus ehrner Brust Verwünschungen
                                    Auf den Verderber ihrer Väter hin,
                                    Wühlt sie das silberne Gebein ihm frech
                                    Mit hörnern Klauen aus der Erd hervor!",2430,2851,character_speech,0,1,,DAS VOLK,DAS VOLK,1.0,UNKNOWN,abhorrence,negative,emotions of rejection
12,12,TextGrid/-Robert_Guiskard__Fragment_.xml,"
                                 Ein Greis tritt auf.",0,54,stage_direction,0,2,pre_speech,,,,,no_annotation,no_annotation,no_annotation
13,13,TextGrid/-Robert_Guiskard__Fragment_.xml,Die Vorigen.,55,67,stage_direction,0,2,pre_speech,,,,,no_annotation,no_annotation,no_annotation
14,14,TextGrid/-Robert_Guiskard__Fragment_.xml,"Komm her, Armin, ich bitte dich.",0,32,character_speech,0,2,,EIN KRIEGER.,EIN KRIEGER.,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
15,15,TextGrid/-Robert_Guiskard__Fragment_.xml,"
                                    Das heult,
                                    Gepeitscht vom Sturm der Angst und schäumt und gischt,
                                    Dem offnen Weltmeer gleich.",0,202,character_speech,0,2,,EIN ANDERER.,EIN ANDERER.,2.0,UNKNOWN,fear,negative,emotions of anxiety
16,16,TextGrid/-Robert_Guiskard__Fragment_.xml,"
                                    Schaff Ordnung hier!",0,57,character_speech,0,2,,EIN DRITTER.,EIN DRITTER.,3.0,UNKNOWN,being moved,being moved,being moved
17,17,TextGrid/-Robert_Guiskard__Fragment_.xml,Sie wogen noch das Zelt des Guiskard um.,94,134,character_speech,0,2,,EIN DRITTER.,EIN DRITTER.,3.0,UNKNOWN,no_annotation,no_annotation,no_annotation
18,18,TextGrid/-Robert_Guiskard__Fragment_.xml,"
                                    zum Volk.",0,46,stage_direction,0,2,speech_part,,,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation
19,19,TextGrid/-Robert_Guiskard__Fragment_.xml,"
                                    Fort hier mit dem, was unnütz ist!",0,71,character_speech,0,2,,DER GREIS,DER GREIS,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation
