,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
0,0,Kasperl/Hensler_Der Großvater_korr.csv,"
      (Im Hintergrund ein Bergwerck.)",0,38,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1,1,Kasperl/Hensler_Der Großvater_korr.csv,"
      (Man sieht oben den Haspel und das Seil, woran die Bergleute Erde und Steine heraufziehen, und sie dann in Karren wegführen, oder wegtragen.",0,147,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
2,2,Kasperl/Hensler_Der Großvater_korr.csv,"Die Arbeit geht fort, bis die Szene verändert wird.",148,199,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
3,3,Kasperl/Hensler_Der Großvater_korr.csv,Hin und wieder auf dem Berg mehrere Bergknappen und Kinder.,200,259,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
4,4,Kasperl/Hensler_Der Großvater_korr.csv,"– Im Vordergrund der alte Niklas auf der Erde sitzend, neben ihm Röschen mit einem Körbchen voll Brod, Kaspar, Marthe, Philipp, Kinder, Bernhard und mehrere, er schneidet Brod auf und theilt es aus.",260,458,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
5,5,Kasperl/Hensler_Der Großvater_korr.csv,– (NB.,459,465,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
6,6,Kasperl/Hensler_Der Großvater_korr.csv,Es ist anbrechender Tag.),466,491,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
7,7,Kasperl/Hensler_Der Großvater_korr.csv,"
       Nun wär das Morgenbrod verzehrt, also frisch an die Arbeit!",0,67,character_speech,1,1,,"
       Kasper.
      ",#kasper,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
8,8,Kasperl/Hensler_Der Großvater_korr.csv,"
        (steht auf)",0,20,stage_direction,1,1,inner_speech,,#kasper,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
9,9,Kasperl/Hensler_Der Großvater_korr.csv,"
       Du Mutter!",0,18,character_speech,1,1,,"
       Kasper.
      ",#kasper,1.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
