,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,File
0,WELLBACH_Lindenthal,WELLBACH_Lindenthal,PAUL,,,VH,negativ,1240,CATMA_F5277F49-FB05-4E77-AA0D-C6DF62E53F6C,4,Emotionen der Ablehnung,negativ,1218,Ärger,Wirst du schreiben! ,"['Wirst', 'du', 'schreiben', '!']",Mandoletti_main_emotion_class_filtered.csv
1,WELLBACH_Lindenthal,WELLBACH_Lindenthal,,,,VH,positiv,1413,CATMA_5388A8A0-D0DB-486A-8EF5-68A99C0870D7_0,18,Emotionen der Zuneigung,positiv,1334,Liebe,"ich will nur in ihren Wünschen leben“ hohl mich der Teufel, ja das will ich. ","['ich', 'will', 'nur', 'in', 'ihren', 'Wünschen', 'leben', '“', 'hohl', 'mich', 'der', 'Teufel', ',', 'ja', 'das', 'will', 'ich', '.']",Mandoletti_main_emotion_class_filtered.csv
2,WELLBACH_Lindenthal,WELLBACH_Lindenthal,,,,VH,positiv,1496,CATMA_5388A8A0-D0DB-486A-8EF5-68A99C0870D7_1,10,Emotionen der Zuneigung,positiv,1439,Liebe,„Ewig bleib ich ihrer Neugung getreu und verschwiegen“ ,"['„', 'Ewig', 'bleib', 'ich', 'ihrer', 'Neugung', 'getreu', 'und', 'verschwiegen', '“']",Mandoletti_main_emotion_class_filtered.csv
3,WELLBACH_Lindenthal,WELLBACH_Lindenthal,PAUL,,,VH,negativ,1789,CATMA_7EDA5379-F7B7-41D1-B728-6D1AE2DA1429,7,Emotionen der Ablehnung,negativ,1763,Ärger,Soll ich dich’s lehren? ,"['Soll', 'ich', 'dich', '’', 's', 'lehren', '?']",Mandoletti_main_emotion_class_filtered.csv
4,WELLBACH_Lindenthal,WELLBACH_Lindenthal,unbekannt,,,VH,positiv,1943,CATMA_BD3D33D4-3881-4088-A2A1-A8BF53924B7F,10,Emotionen der Zuneigung,positiv,1884,Liebe,„Nur der Tod soll ihren himmlischen Umarmungen entreissen“ ,"['„', 'Nur', 'der', 'Tod', 'soll', 'ihren', 'himmlischen', 'Umarmungen', 'entreissen', '“']",Mandoletti_main_emotion_class_filtered.csv
5,,,,,,VH,positiv,2040,CATMA_288BCA44-D174-470D-B6D9-F18AF467143D,12,Emotionen der Zuneigung,positiv,1981,Liebe,„Ihren ewig zärtlich liebenden Freyherr v. Lindenthal. [“] ,"['„', 'Ihren', 'ewig', 'zärtlich', 'liebenden', 'Freyherr', 'v.', 'Lindenthal', '.', '[', '“', ']']",Mandoletti_main_emotion_class_filtered.csv
6,PAUL,impliziter_Autor,WELLBACH_Lindenthal,,,VH,negativ,2068,CATMA_A25096B0-3DA0-4625-8557-63A56463DC10,3,Emotionen des Leids,negativ,2051,Leid,Mit einem Seufzer,"['Mit', 'einem', 'Seufzer']",Mandoletti_main_emotion_class_filtered.csv
7,WELLBACH_Lindenthal,WELLBACH_Lindenthal,unbekannt,,,VH,positiv,3710,CATMA_EC1BCF8E-5BF1-43F9-AEC7-5C43223DC50A,38,Emotionen der Zuneigung,positiv,3521,Liebe,"wenn du nicht Eis statt Blut in deinen Adern hast, so sage mir, wer kann im Besitz solch eines Meisterstückes der Natur (er zeigt ihm das Portrait) für etwas andres noch Sinne haben? ","['wenn', 'du', 'nicht', 'Eis', 'statt', 'Blut', 'in', 'deinen', 'Adern', 'hast', ',', 'so', 'sage', 'mir', ',', 'wer', 'kann', 'im', 'Besitz', 'solch', 'eines', 'Meisterstückes', 'der', 'Natur', '(', 'er', 'zeigt', 'ihm', 'das', 'Portrait', ')', 'für', 'etwas', 'andres', 'noch', 'Sinne', 'haben', '?']",Mandoletti_main_emotion_class_filtered.csv
8,WELLBACH_Lindenthal,,,,,VH,negativ,4051,CATMA_B5D81320-F82C-4865-AF9D-670A8F59EADE,46,Emotionen der Ablehnung,negativ,3816,Ärger,"Dumkopf mit deiner Vergleichung – fast so schön als ihre Gemahlin – fast! – hab ich’s dir nicht ein für allemal verboten, nicht die geringste Erwähnung von ihr  zu machen, gar nicht daran zu denken, daß ich verheurathet sey. ","['Dumkopf', 'mit', 'deiner', 'Vergleichung', '–', 'fast', 'so', 'schön', 'als', 'ihre', 'Gemahlin', '–', 'fast', '!', '–', 'hab', 'ich', '’', 's', 'dir', 'nicht', 'ein', 'für', 'allemal', 'verboten', ',', 'nicht', 'die', 'geringste', 'Erwähnung', 'von', 'ihr', 'zu', 'machen', ',', 'gar', 'nicht', 'daran', 'zu', 'denken', ',', 'daß', 'ich', 'verheurathet', 'sey', '.']",Mandoletti_main_emotion_class_filtered.csv
9,,,,,,VH,positiv,4319,CATMA_58546AA5-974A-42DE-85CE-D1221AD84130,17,Emotionen der Freude,positiv,4219,Freude,"an meinem Glücke Theil nehmen – dich mit mir freuen, mit mir diese zauberische Schönheit bewundern","['an', 'meinem', 'Glücke', 'Theil', 'nehmen', '–', 'dich', 'mit', 'mir', 'freuen', ',', 'mit', 'mir', 'diese', 'zauberische', 'Schönheit', 'bewundern']",Mandoletti_main_emotion_class_filtered.csv
10,,,,,,VH,positiv,4683,CATMA_421AD515-CDB9-4AED-966D-8D2C0DAEFC47,44,Emotionen der Zuneigung,positiv,4494,Liebe,"Und doch geb ich dir mein Wort – daß dies das non plus ultra der Liebe für mich ist – schwör dir’s, daß ich diesen Engel ewig, wohl – wohl gemerkt – ich sage ewig – treu bleiben will – ","['Und', 'doch', 'geb', 'ich', 'dir', 'mein', 'Wort', '–', 'daß', 'dies', 'das', 'non', 'plus', 'ultra', 'der', 'Liebe', 'für', 'mich', 'ist', '–', 'schwör', 'dir', '’', 's', ',', 'daß', 'ich', 'diesen', 'Engel', 'ewig', ',', 'wohl', '–', 'wohl', 'gemerkt', '–', 'ich', 'sage', 'ewig', '–', 'treu', 'bleiben', 'will', '–']",Mandoletti_main_emotion_class_filtered.csv
11,WELLBACH_Lindenthal,,,,,VH,negativ,5824,CATMA_12011C84-AA61-4C81-BF7A-6DE841FB56A2,52,Emotionen der Ablehnung,negativ,5577,Ärger,"Je zum Teufel fängst du schon wieder damit an – Meine Frau! sie mag nach Venedig reisen – und wenn sie da keinen Zeitvertreib findet, so wird es wohl nirgends als im Kloster welche für sie geben! Und nun kein Wort mehr – das rath ich dir! – ","['Je', 'zum', 'Teufel', 'fängst', 'du', 'schon', 'wieder', 'damit', 'an', '–', 'Meine', 'Frau', '!', 'sie', 'mag', 'nach', 'Venedig', 'reisen', '–', 'und', 'wenn', 'sie', 'da', 'keinen', 'Zeitvertreib', 'findet', ',', 'so', 'wird', 'es', 'wohl', 'nirgends', 'als', 'im', 'Kloster', 'welche', 'für', 'sie', 'geben', '!', 'Und', 'nun', 'kein', 'Wort', 'mehr', '–', 'das', 'rath', 'ich', 'dir', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
12,WELLBACH_Lindenthal,impliziter_Autor,KASPAR,,,VH,positiv,14558,CATMA_7CC4BA52-93C6-493D-B4D1-72984DE81782,1,Emotionen der Freude,positiv,14551,Freude,freudig,['freudig'],Mandoletti_main_emotion_class_filtered.csv
13,WELLBACH_Lindenthal,,,,,VH,positiv,14622,CATMA_C2A7CDE2-0A9D-485D-939E-72B56BCB28ED,15,Emotionen der Freude,positiv,14560,Freude,je zum Henker! – du bist doch wohl nicht der Jäger Franz? – ,"['je', 'zum', 'Henker', '!', '–', 'du', 'bist', 'doch', 'wohl', 'nicht', 'der', 'Jäger', 'Franz', '?', '–']",Mandoletti_main_emotion_class_filtered.csv
14,,,,Ereignis,,VH,positiv,16770,CATMA_01AADDB6-E662-4054-B514-83337FF4998B,10,Emotionen der Freude,positiv,16724,Freude,Herrlich! trefflich! – nun da komm ich sicher ,"['Herrlich', '!', 'trefflich', '!', '–', 'nun', 'da', 'komm', 'ich', 'sicher']",Mandoletti_main_emotion_class_filtered.csv
15,WELLBACH_Lindenthal,,,,,VH,negativ,17170,CATMA_DFB0709E-226C-44E5-948F-102F28229838,7,Emotionen des Leids,negativ,17140,Mitleid, Aber das arme Geschöpf!! – ,"['Aber', 'das', 'arme', 'Geschöpf', '!', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
16,,,,,,VH,positiv,18377,CATMA_76081160-38E0-4B64-AA62-9FF00C3B9568,38,Emotionen der Freude,positiv,18197,Schadenfreude,A! ha! – ich verstehs schon – diese Strenge soll den Verdacht bergen helfen – mit dem man dich allenfalls aufziehen könnte – daß du etwas anderst auf der Seiten hast – ha! ha! ,"['A', '!', 'ha', '!', '–', 'ich', 'verstehs', 'schon', '–', 'diese', 'Strenge', 'soll', 'den', 'Verdacht', 'bergen', 'helfen', '–', 'mit', 'dem', 'man', 'dich', 'allenfalls', 'aufziehen', 'könnte', '–', 'daß', 'du', 'etwas', 'anderst', 'auf', 'der', 'Seiten', 'hast', '–', 'ha', '!', 'ha', '!']",Mandoletti_main_emotion_class_filtered.csv
17,EVERL,,,,,VH,negativ,18966,CATMA_F10C4F40-05D0-4609-823E-6D8553223938,6,Emotionen der Ablehnung,negativ,18945,Ärger,Wart du Schlingel!! –,"['Wart', 'du', 'Schlingel', '!', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
18,EVERL,,,,,VH,negativ,19972,CATMA_32D4CB94-988E-44D8-94E9-285312E2296F,7,Emotionen der Ablehnung,negativ,19940,Ärger, Da sehe man den  Schurken! – ,"['Da', 'sehe', 'man', 'den', 'Schurken', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
19,KASPAR,KASPAR,,Zustand,,VH,positiv,20366,CATMA_17C93F0A-0280-4EFF-8CFC-26C73FAC9C5B,12,Emotionen der Freude,positiv,20314,Freude,Herzlich gerne – bin mit Leib und Seele dabey!! – ,"['Herzlich', 'gerne', '–', 'bin', 'mit', 'Leib', 'und', 'Seele', 'dabey', '!', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
20,,,,,,VH,positiv,21762,CATMA_39A6E02A-0AF0-4BFB-93CC-9825AC86BE05,95,Emotionen der Freude,positiv,21316,Freude,"200 Dukaten – o! Fikrament!15 – nu! ich habs ja erst gesagt – das Ihnen um ein hübsches Ge-sichtl kein Dukatl zu rund ist, 200 Dukaten – mir ist als ob Sie mirs schon aufzählten – sollen sehen – daß das Weiberl eben so reden lernen, als der Esel von einem Mann blind werden muß, kommen Sie nur in einer Stunde in mein Magazin – und da wird mein Plan fertig – und alles zu Ihren Diens-ten bereit seyn! – Fikrament 200 Dukaten sagen Sie? – ","['200', 'Dukaten', '–', 'o', '!', 'Fikrament', '!', '15', '–', 'nu', '!', 'ich', 'habs', 'ja', 'erst', 'gesagt', '–', 'das', 'Ihnen', 'um', 'ein', 'hübsches', 'Ge-sichtl', 'kein', 'Dukatl', 'zu', 'rund', 'ist', ',', '200', 'Dukaten', '–', 'mir', 'ist', 'als', 'ob', 'Sie', 'mirs', 'schon', 'aufzählten', '–', 'sollen', 'sehen', '–', 'daß', 'das', 'Weiberl', 'eben', 'so', 'reden', 'lernen', ',', 'als', 'der', 'Esel', 'von', 'einem', 'Mann', 'blind', 'werden', 'muß', ',', 'kommen', 'Sie', 'nur', 'in', 'einer', 'Stunde', 'in', 'mein', 'Magazin', '–', 'und', 'da', 'wird', 'mein', 'Plan', 'fertig', '–', 'und', 'alles', 'zu', 'Ihren', 'Diens-ten', 'bereit', 'seyn', '!', '–', 'Fikrament', '200', 'Dukaten', 'sagen', 'Sie', '?', '–']",Mandoletti_main_emotion_class_filtered.csv
