,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
597,597,597,GerDracor/heine-william-ratcliff.xml,Erleuchtetes Zimmer mit einem verhängten Kabinette in der Mitte.,0,64,stage_direction,1,4,pre_speech,,,,,no_annotation,no_annotation,no_annotation
598,598,598,GerDracor/heine-william-ratcliff.xml,"Man hört verhallende
          Tanzmusik und Mädchengekicher.",65,126,stage_direction,1,4,pre_speech,,,,,no_annotation,no_annotation,no_annotation
599,599,599,GerDracor/heine-william-ratcliff.xml,"Maria, festlich geschmückt, und Margarete treten eben
          herein.",127,198,stage_direction,1,4,pre_speech,,,,,no_annotation,no_annotation,no_annotation
600,600,600,GerDracor/heine-william-ratcliff.xml,Ach Gott!,0,9,character_speech,1,4,,MARIA.,#maria,133.0,FEMALE,being moved,being moved,being moved
601,601,601,GerDracor/heine-william-ratcliff.xml,mir ist so ängstlich –,10,32,character_speech,1,4,,MARIA.,#maria,133.0,FEMALE,fear,negative,emotions of anxiety
602,602,602,GerDracor/heine-william-ratcliff.xml,"
            's tut der Schnürleib.",0,35,character_speech,1,4,,MARGARETE.,#margarete,134.0,FEMALE,no_annotation,no_annotation,no_annotation
603,603,603,GerDracor/heine-william-ratcliff.xml,"Komm her, ich will dich ausziehn, liebes Püppchen.",48,98,character_speech,1,4,,MARGARETE.,#margarete,134.0,FEMALE,love,positive,emotions of affection
604,604,604,GerDracor/heine-william-ratcliff.xml,Sie hilft Marien beim Auskleiden.,0,33,stage_direction,1,4,speech_part,,#margarete,134.0,FEMALE,no_annotation,no_annotation,no_annotation
605,605,605,GerDracor/heine-william-ratcliff.xml,Das Herz ist mir beklommen.,0,27,character_speech,1,4,,MARIA.,#maria,135.0,FEMALE,being moved,being moved,being moved
606,606,606,GerDracor/heine-william-ratcliff.xml,"
            Ei, mein Püppchen,
            Graf Douglas ist ein hübscher Mann.",0,79,character_speech,1,4,,MARGARETE.,#margarete,136.0,FEMALE,"admiration, reverence",positive,emotions of affection
607,607,607,GerDracor/heine-william-ratcliff.xml,heiter lachend.,0,15,stage_direction,1,4,speech_part,,#maria,137.0,FEMALE,joy,positive,emotions of pleasure
