,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
0,0,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"
      (Das Theater stellt vor eine hohe Alpengegend.",0,53,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1,1,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"Reizendes Gebürg, woraus ein Wasserfall strömt, der sich unten im Thale verliert.",54,135,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
2,2,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,Man sieht hin und wieder Schaafe weiden.,136,176,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
3,3,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"Oben sitzt auf einem steilen Felsenstück Kasperl, und bläst bey Aufzug der Kortine auf der Schalmey.",177,277,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
4,4,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"Unten im Thal von zerschiedenen Seiten, Christel und Röschen, ohne einander zu sehen.)",278,364,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
5,5,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"
      Terzett.",0,15,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
6,6,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"
       
        Ich Kasper, ohne Sorgen
       
       
        Freu’ mich an jedem Morgen
       
       
        Der lieben bunten Welt.",0,139,character_speech,1,1,,"
       Kasperl.
      ",#kasperl,1.0,UNKNOWN,joy,positive,emotions of pleasure,comedy,KK
7,7,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"
       
        An jedem frühen Morgen
       
       
        Bin ich so frey von Sorgen,
       
       
        Und freue mich der Welt.",0,140,character_speech,1,1,,"
       Röschen. Christel.
      ",#röschen #christel,2.0,UNKNOWN,joy,positive,emotions of pleasure,comedy,KK
8,8,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,–,141,142,character_speech,1,1,,"
       Röschen. Christel.
      ",#röschen #christel,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
9,9,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"
       
        Ich grüsse Thal und Felder,
       
       
        Ich grüsse Flur und Wälder
       
       
        Mein Gretl / Christel / Röschen ist mir mehr als Geld.",0,174,character_speech,1,1,,"
       Alle 3.
      ",#röschen #christel #kasperl,3.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
10,10,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"
       
        Kaum, daß ich früh aufstehe
       
       
        Zu meinen Schaafen gehe,
       
       
        Fällt mir mein Röschen ein.",0,145,character_speech,1,1,,"
       Christel.
      ",#christel,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
11,11,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"
       
        Wenn ich im Schlafe liege
       
       
        Träum’ ich wie in der Wiege
       
       
        Und wünsch bey ihm zu seyn.",0,146,character_speech,1,1,,"
       Röschen.
      ",#röschen,5.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
12,12,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"
       
        Mein Röschen / Christel ist so schlank und schön
       
       
        Süß ist von ihr / ihm ein Kuß.",0,120,character_speech,1,1,,"
       Christel. Röschen.
      ",#christel #röschen,6.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
13,13,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"
       [zugleich]",0,18,stage_direction,1,1,speech_part,,#kasperl,7.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
14,14,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,"
       
        Mein Gretl hat n’ Loch im Kinn
       
       
        So rund wie Haselnuß.",0,93,character_speech,1,1,,"
       Kasperl.
      ",#kasperl,7.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
15,15,Kasperl/Huber_Kasperl der lustige Schaafhirt_korr.csv,(kommt herunter),118,134,character_speech,1,1,,"
       Kasperl.
      ",#kasperl,7.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
